Thu Feb  4 04:29:07 2021
rule_repository_top_k.size(): 30
(length,whole,rings=9,)=>viscera | whole_supp: 1378 | whole_vio: 14 | whole_conf: 0.989840 | Asupp: 3
(length,whole,rings=9,)=>height | whole_supp: 1378 | whole_vio: 14 | whole_conf: 0.989840 | Asupp: 3
(length,whucked,rings=11,)=>height | whole_supp: 974 | whole_vio: 10 | whole_conf: 0.989733 | Asupp: 2
(diameter,whucked,rings=11,)=>height | whole_supp: 974 | whole_vio: 10 | whole_conf: 0.989733 | Asupp: 2
(length,whucked,rings=11,)=>viscera | whole_supp: 974 | whole_vio: 10 | whole_conf: 0.989733 | Asupp: 2
(diameter,whole,rings,)=>shell | whole_supp: 8354 | whole_vio: 86 | whole_conf: 0.989706 | Asupp: 10
(length,viscera,rings,)=>sex | whole_supp: 8354 | whole_vio: 86 | whole_conf: 0.989706 | Asupp: 10
(height,whole,rings,)=>diameter | whole_supp: 8354 | whole_vio: 92 | whole_conf: 0.988987 | Asupp: 10
(diameter,height,whucked,)=>viscera | whole_supp: 8354 | whole_vio: 92 | whole_conf: 0.988987 | Asupp: 10
(height,whole,rings,)=>length | whole_supp: 8354 | whole_vio: 96 | whole_conf: 0.988509 | Asupp: 10
(diameter,whole,rings=9,)=>shell | whole_supp: 1378 | whole_vio: 16 | whole_conf: 0.988389 | Asupp: 3
(length,height,viscera,)=>diameter | whole_supp: 8354 | whole_vio: 102 | whole_conf: 0.987790 | Asupp: 10
(length,viscera,rings=11,)=>whucked | whole_supp: 974 | whole_vio: 12 | whole_conf: 0.987680 | Asupp: 2
(diameter,viscera,rings=11,)=>whole | whole_supp: 974 | whole_vio: 12 | whole_conf: 0.987680 | Asupp: 2
(diameter,viscera,rings=11,)=>whucked | whole_supp: 974 | whole_vio: 12 | whole_conf: 0.987680 | Asupp: 2
(height,whucked,rings=11,)=>diameter | whole_supp: 974 | whole_vio: 12 | whole_conf: 0.987680 | Asupp: 2
(diameter,viscera,rings=11,)=>length | whole_supp: 974 | whole_vio: 12 | whole_conf: 0.987680 | Asupp: 2
(length,viscera,rings=10,)=>sex | whole_supp: 1268 | whole_vio: 16 | whole_conf: 0.987382 | Asupp: 2
(height,whole,rings=10,)=>diameter | whole_supp: 1268 | whole_vio: 16 | whole_conf: 0.987382 | Asupp: 2
(height,whole,rings=10,)=>whucked | whole_supp: 1268 | whole_vio: 16 | whole_conf: 0.987382 | Asupp: 2
(diameter,whucked,rings=9,)=>height | whole_supp: 1378 | whole_vio: 18 | whole_conf: 0.986938 | Asupp: 3
(diameter,whucked,rings,)=>shell | whole_supp: 8354 | whole_vio: 114 | whole_conf: 0.986354 | Asupp: 11
(length,height,viscera,)=>whole | whole_supp: 8354 | whole_vio: 116 | whole_conf: 0.986114 | Asupp: 10
(length,viscera,rings=10,)=>diameter | whole_supp: 1268 | whole_vio: 18 | whole_conf: 0.985804 | Asupp: 2
(height,whole,rings=10,)=>length | whole_supp: 1268 | whole_vio: 18 | whole_conf: 0.985804 | Asupp: 2
(diameter,viscera,rings,)=>sex | whole_supp: 8354 | whole_vio: 122 | whole_conf: 0.985396 | Asupp: 10
(height,whole,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 48 | whole_conf: 0.984293 | Asupp: 4
(height,whucked,rings=10,)=>diameter | whole_supp: 1268 | whole_vio: 20 | whole_conf: 0.984227 | Asupp: 2
(length,whucked,rings=10,)=>height | whole_supp: 1268 | whole_vio: 20 | whole_conf: 0.984227 | Asupp: 2
(diameter,whucked,rings=9,)=>viscera | whole_supp: 1378 | whole_vio: 22 | whole_conf: 0.984035 | Asupp: 3
(height,whole,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 42 | whole_conf: 0.983933 | Asupp: 3
(viscera,shell,sex=M,)=>whole | whole_supp: 3056 | whole_vio: 50 | whole_conf: 0.983639 | Asupp: 3
(viscera,shell,sex=M,)=>length | whole_supp: 3056 | whole_vio: 50 | whole_conf: 0.983639 | Asupp: 3
(viscera,shell,sex=M,)=>diameter | whole_supp: 3056 | whole_vio: 50 | whole_conf: 0.983639 | Asupp: 3
(height,whole,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 44 | whole_conf: 0.983168 | Asupp: 3
