Thu Feb  4 05:19:43 2021
rule_repository_top_k.size(): 30
(length,whole,shell,)=>rings | whole_supp: 8354 | whole_vio: 12 | whole_conf: 0.998564 | Asupp: 10
(diameter,whole,shell,)=>rings | whole_supp: 8354 | whole_vio: 12 | whole_conf: 0.998564 | Asupp: 10
(length,whole,shell,)=>height | whole_supp: 8354 | whole_vio: 12 | whole_conf: 0.998564 | Asupp: 10
(length,viscera,shell,)=>sex | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(diameter,whole,shell,)=>whucked | whole_supp: 8354 | whole_vio: 16 | whole_conf: 0.998085 | Asupp: 11
(length,viscera,shell,)=>height | whole_supp: 8354 | whole_vio: 18 | whole_conf: 0.997845 | Asupp: 9
(length,viscera,shell,)=>rings | whole_supp: 8354 | whole_vio: 20 | whole_conf: 0.997606 | Asupp: 9
(height,whucked,shell,)=>diameter | whole_supp: 8354 | whole_vio: 22 | whole_conf: 0.997367 | Asupp: 10
(whucked,shell,sex=F,)=>length | whole_supp: 2614 | whole_vio: 8 | whole_conf: 0.996940 | Asupp: 3
(length,whole,rings,)=>sex | whole_supp: 8354 | whole_vio: 30 | whole_conf: 0.996409 | Asupp: 10
(diameter,whole,rings,)=>sex | whole_supp: 8354 | whole_vio: 30 | whole_conf: 0.996409 | Asupp: 10
(whole,shell,sex=F,)=>length | whole_supp: 2614 | whole_vio: 10 | whole_conf: 0.996174 | Asupp: 3
(diameter,viscera,shell,)=>rings | whole_supp: 8354 | whole_vio: 34 | whole_conf: 0.995930 | Asupp: 9
(diameter,viscera,shell,)=>height | whole_supp: 8354 | whole_vio: 38 | whole_conf: 0.995451 | Asupp: 10
(length,height,viscera,)=>sex | whole_supp: 8354 | whole_vio: 40 | whole_conf: 0.995212 | Asupp: 9
(whucked,shell,rings,)=>diameter | whole_supp: 8354 | whole_vio: 42 | whole_conf: 0.994972 | Asupp: 9
(diameter,whole,rings=8,)=>sex | whole_supp: 1136 | whole_vio: 6 | whole_conf: 0.994718 | Asupp: 3
(length,height,whucked,)=>sex | whole_supp: 8354 | whole_vio: 48 | whole_conf: 0.994254 | Asupp: 10
(diameter,whucked,rings,)=>sex | whole_supp: 8354 | whole_vio: 54 | whole_conf: 0.993536 | Asupp: 10
(whucked,shell,rings,)=>length | whole_supp: 8354 | whole_vio: 54 | whole_conf: 0.993536 | Asupp: 9
(whole,viscera,sex=I,)=>diameter | whole_supp: 2684 | whole_vio: 18 | whole_conf: 0.993294 | Asupp: 6
(length,height,whucked,)=>rings | whole_supp: 8354 | whole_vio: 68 | whole_conf: 0.991860 | Asupp: 9
(diameter,height,whucked,)=>rings | whole_supp: 8354 | whole_vio: 70 | whole_conf: 0.991621 | Asupp: 11
(viscera,shell,rings=8,)=>diameter | whole_supp: 1136 | whole_vio: 10 | whole_conf: 0.991197 | Asupp: 2
(diameter,whole,rings,)=>height | whole_supp: 8354 | whole_vio: 78 | whole_conf: 0.990663 | Asupp: 10
(diameter,whole,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 26 | whole_conf: 0.990054 | Asupp: 3
(diameter,height,viscera,)=>sex | whole_supp: 8354 | whole_vio: 84 | whole_conf: 0.989945 | Asupp: 9
(length,viscera,rings,)=>sex | whole_supp: 8354 | whole_vio: 86 | whole_conf: 0.989706 | Asupp: 9
(diameter,height,whucked,)=>shell | whole_supp: 8354 | whole_vio: 88 | whole_conf: 0.989466 | Asupp: 11
(length,viscera,rings=8,)=>sex | whole_supp: 1136 | whole_vio: 12 | whole_conf: 0.989437 | Asupp: 2
(viscera,shell,rings=8,)=>length | whole_supp: 1136 | whole_vio: 12 | whole_conf: 0.989437 | Asupp: 2
(diameter,whole,rings,)=>whucked | whole_supp: 8354 | whole_vio: 90 | whole_conf: 0.989227 | Asupp: 10
(length,height,viscera,)=>rings | whole_supp: 8354 | whole_vio: 90 | whole_conf: 0.989227 | Asupp: 10
(length,whucked,rings,)=>height | whole_supp: 8354 | whole_vio: 94 | whole_conf: 0.988748 | Asupp: 9
(length,whole,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 32 | whole_conf: 0.987758 | Asupp: 3
(diameter,whucked,rings=8,)=>shell | whole_supp: 1136 | whole_vio: 14 | whole_conf: 0.987676 | Asupp: 2
(length,height,viscera,)=>shell | whole_supp: 8354 | whole_vio: 110 | whole_conf: 0.986833 | Asupp: 9
(length,height,viscera,)=>whole | whole_supp: 8354 | whole_vio: 116 | whole_conf: 0.986114 | Asupp: 9
(diameter,viscera,rings,)=>sex | whole_supp: 8354 | whole_vio: 122 | whole_conf: 0.985396 | Asupp: 9
(length,whucked,rings=8,)=>sex | whole_supp: 1136 | whole_vio: 18 | whole_conf: 0.984155 | Asupp: 2
(diameter,height,viscera,)=>rings | whole_supp: 8354 | whole_vio: 136 | whole_conf: 0.983720 | Asupp: 10
(length,whucked,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 48 | whole_conf: 0.981637 | Asupp: 4
(length,viscera,rings,)=>height | whole_supp: 8354 | whole_vio: 156 | whole_conf: 0.981326 | Asupp: 9
(diameter,height,viscera,)=>shell | whole_supp: 8354 | whole_vio: 160 | whole_conf: 0.980847 | Asupp: 10
(diameter,viscera,rings=8,)=>sex | whole_supp: 1136 | whole_vio: 22 | whole_conf: 0.980634 | Asupp: 2
(diameter,height,viscera,)=>whucked | whole_supp: 8354 | whole_vio: 162 | whole_conf: 0.980608 | Asupp: 10
(sex,diameter,whole,)=>height | whole_supp: 8354 | whole_vio: 164 | whole_conf: 0.980369 | Asupp: 10
(length,viscera,rings,)=>shell | whole_supp: 8354 | whole_vio: 178 | whole_conf: 0.978693 | Asupp: 9
(length,viscera,rings,)=>whucked | whole_supp: 8354 | whole_vio: 182 | whole_conf: 0.978214 | Asupp: 10
(sex,diameter,whole,)=>viscera | whole_supp: 8354 | whole_vio: 196 | whole_conf: 0.976538 | Asupp: 10
(diameter,whucked,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 64 | whole_conf: 0.975516 | Asupp: 4
(diameter,whole,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 66 | whole_conf: 0.975410 | Asupp: 6
(length,viscera,rings=8,)=>height | whole_supp: 1136 | whole_vio: 28 | whole_conf: 0.975352 | Asupp: 2
(length,whucked,rings=8,)=>shell | whole_supp: 1136 | whole_vio: 28 | whole_conf: 0.975352 | Asupp: 2
(whole,rings,sex=F,)=>diameter | whole_supp: 2614 | whole_vio: 68 | whole_conf: 0.973986 | Asupp: 3
(length,viscera,rings=8,)=>shell | whole_supp: 1136 | whole_vio: 30 | whole_conf: 0.973592 | Asupp: 2
(length,viscera,rings=8,)=>whucked | whole_supp: 1136 | whole_vio: 30 | whole_conf: 0.973592 | Asupp: 2
(length,viscera,rings=8,)=>whole | whole_supp: 1136 | whole_vio: 30 | whole_conf: 0.973592 | Asupp: 2
(length,whole,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 72 | whole_conf: 0.973174 | Asupp: 6
(diameter,viscera,rings,)=>shell | whole_supp: 8354 | whole_vio: 228 | whole_conf: 0.972708 | Asupp: 9
