Thu Feb  4 04:42:13 2021
rule_repository_top_k.size(): 30
(sex,viscera,shell,)=>whole | whole_supp: 8354 | whole_vio: 180 | whole_conf: 0.978453 | Asupp: 10
(whole,rings,sex=M,)=>height | whole_supp: 3056 | whole_vio: 84 | whole_conf: 0.972513 | Asupp: 2
(height,whucked,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 72 | whole_conf: 0.972456 | Asupp: 3
(viscera,shell,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 74 | whole_conf: 0.972429 | Asupp: 6
(whole,rings,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 74 | whole_conf: 0.971691 | Asupp: 3
(whole,rings,sex=F,)=>whucked | whole_supp: 2614 | whole_vio: 76 | whole_conf: 0.970926 | Asupp: 3
(height,whucked,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 84 | whole_conf: 0.967865 | Asupp: 3
(whole,rings,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 100 | whole_conf: 0.967277 | Asupp: 2
(whole,rings,sex=M,)=>whucked | whole_supp: 3056 | whole_vio: 100 | whole_conf: 0.967277 | Asupp: 2
(height,whole,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 110 | whole_conf: 0.959016 | Asupp: 6
(height,viscera,rings=10,)=>whole | whole_supp: 1268 | whole_vio: 56 | whole_conf: 0.955836 | Asupp: 2
(height,viscera,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 56 | whole_conf: 0.955836 | Asupp: 2
(height,viscera,rings=10,)=>whucked | whole_supp: 1268 | whole_vio: 56 | whole_conf: 0.955836 | Asupp: 2
(height,whucked,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 140 | whole_conf: 0.954188 | Asupp: 3
(sex,whole,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 60 | whole_conf: 0.952681 | Asupp: 2
(whucked,rings,sex=M,)=>height | whole_supp: 3056 | whole_vio: 146 | whole_conf: 0.952225 | Asupp: 3
(height,whole,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 138 | whole_conf: 0.948584 | Asupp: 6
(height,whole,sex=I,)=>viscera | whole_supp: 2684 | whole_vio: 144 | whole_conf: 0.946349 | Asupp: 7
(height,viscera,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 158 | whole_conf: 0.939556 | Asupp: 4
(whucked,rings,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 172 | whole_conf: 0.934200 | Asupp: 3
