Thu Feb  4 05:42:25 2021
rule_repository_top_k.size(): 30
(a,c,)=>b | whole_supp: 124524 | whole_vio: 4408 | whole_conf: 0.964601 | Asupp: 10
(a,f,)=>b | whole_supp: 124524 | whole_vio: 4401 | whole_conf: 0.964657 | Asupp: 10
(a,e,)=>b | whole_supp: 124524 | whole_vio: 4350 | whole_conf: 0.965067 | Asupp: 10
(a,c,)=>e | whole_supp: 124524 | whole_vio: 4180 | whole_conf: 0.966432 | Asupp: 10
(a,f,)=>e | whole_supp: 124524 | whole_vio: 4155 | whole_conf: 0.966633 | Asupp: 10
(a,d,)=>b | whole_supp: 124524 | whole_vio: 4113 | whole_conf: 0.966970 | Asupp: 10
(a,f,)=>c | whole_supp: 124524 | whole_vio: 4025 | whole_conf: 0.967677 | Asupp: 10
(a,d,)=>e | whole_supp: 124524 | whole_vio: 3912 | whole_conf: 0.968584 | Asupp: 10
(a,d,)=>f | whole_supp: 124524 | whole_vio: 3880 | whole_conf: 0.968841 | Asupp: 10
(a,d,)=>c | whole_supp: 124524 | whole_vio: 3697 | whole_conf: 0.970311 | Asupp: 10
(b,g,)=>d | whole_supp: 124524 | whole_vio: 1325 | whole_conf: 0.989359 | Asupp: 10
(f,g,)=>d | whole_supp: 124524 | whole_vio: 827 | whole_conf: 0.993359 | Asupp: 10
(a,b,)=>d | whole_supp: 124524 | whole_vio: 775 | whole_conf: 0.993776 | Asupp: 10
(b,g,)=>e | whole_supp: 124524 | whole_vio: 770 | whole_conf: 0.993816 | Asupp: 10
(b,g,)=>c | whole_supp: 124524 | whole_vio: 593 | whole_conf: 0.995238 | Asupp: 10
(d,g,)=>b | whole_supp: 124524 | whole_vio: 516 | whole_conf: 0.995856 | Asupp: 10
(c,g,)=>b | whole_supp: 124524 | whole_vio: 464 | whole_conf: 0.996274 | Asupp: 10
(e,g,)=>b | whole_supp: 124524 | whole_vio: 420 | whole_conf: 0.996627 | Asupp: 10
(f,g,)=>b | whole_supp: 124524 | whole_vio: 389 | whole_conf: 0.996876 | Asupp: 10
(d,g,)=>f | whole_supp: 124524 | whole_vio: 359 | whole_conf: 0.997117 | Asupp: 10
(d,g,)=>e | whole_supp: 124524 | whole_vio: 323 | whole_conf: 0.997406 | Asupp: 10
(c,g,)=>e | whole_supp: 124524 | whole_vio: 320 | whole_conf: 0.997430 | Asupp: 10
(f,g,)=>e | whole_supp: 124524 | whole_vio: 286 | whole_conf: 0.997703 | Asupp: 10
(a,b,)=>e | whole_supp: 124524 | whole_vio: 229 | whole_conf: 0.998161 | Asupp: 10
(d,g,)=>c | whole_supp: 124524 | whole_vio: 155 | whole_conf: 0.998755 | Asupp: 10
(a,f,)=>g | whole_supp: 124524 | whole_vio: 4138 | whole_conf: 0.966769 | Asupp: 10
(a,c,)=>g | whole_supp: 124524 | whole_vio: 4098 | whole_conf: 0.967091 | Asupp: 10
(a,e,)=>g | whole_supp: 124524 | whole_vio: 4070 | whole_conf: 0.967316 | Asupp: 10
(a,d,)=>g | whole_supp: 124524 | whole_vio: 3764 | whole_conf: 0.969773 | Asupp: 10
(b,g,)=>a | whole_supp: 124524 | whole_vio: 932 | whole_conf: 0.992516 | Asupp: 10
(f,g,)=>a | whole_supp: 124524 | whole_vio: 422 | whole_conf: 0.996611 | Asupp: 10
(c,g,)=>a | whole_supp: 124524 | whole_vio: 417 | whole_conf: 0.996651 | Asupp: 10
(d,g,)=>a | whole_supp: 124524 | whole_vio: 413 | whole_conf: 0.996683 | Asupp: 10
(e,g,)=>a | whole_supp: 124524 | whole_vio: 391 | whole_conf: 0.996860 | Asupp: 10
(a,b,)=>g | whole_supp: 124524 | whole_vio: 137 | whole_conf: 0.998900 | Asupp: 10


